Date,Country/Region,Confirmed,Recovered,Deaths
30-07-2020,India,1634746,1055348,35718
31-07-2020,India,1695988,1094374,36511
01-08-2020,India,1750723,1145629,37364
02-08-2020,India,1803695,1186203,38135
03-08-2020,India,1855745,1230509,38938
04-08-2020,India,1908254,1282215,39795
05-08-2020,India,1964536,1328336,40699
06-08-2020,India,2027074,1378105,41585
07-08-2020,India,2088611,1427005,42518
08-08-2020,India,2153010,1480884,43379
09-08-2020,India,2215074,1535743,44386
10-08-2020,India,2268675,1583489,45257
11-08-2020,India,2329638,1639599,46091
12-08-2020,India,2396637,1695982,47033
13-08-2020,India,2461190,1751555,48040
14-08-2020,India,2525922,1808936,49036
15-08-2020,India,2589952,1862258,49980
16-08-2020,India,2647663,1919842,50921
17-08-2020,India,2702681,1977671,51797
18-08-2020,India,2767253,2037816,52888
19-08-2020,India,2836925,2096664,53866
20-08-2020,India,2905825,2158946,54849
21-08-2020,India,2975701,2222577,55794
22-08-2020,India,3044940,2280566,56706
23-08-2020,India,3106348,2338035,57542
24-08-2020,India,3167323,2404585,58390
25-08-2020,India,3224547,2458339,59357
26-08-2020,India,3310234,2523771,60472
27-08-2020,India,3387500,2583948,61529
28-08-2020,India,3463972,2648998,62550
29-08-2020,India,3542733,2713933,63498
30-08-2020,India,3621245,2774801,64469
31-08-2020,India,3691166,2839882,65288
01-09-2020,India,3769523,2901908,66333
02-09-2020,India,3853406,2970492,67376
03-09-2020,India,3936747,3037151,68472
04-09-2020,India,4023179,3107223,69561
05-09-2020,India,4113811,3180865,70626
06-09-2020,India,4204613,3250429,71642
07-09-2020,India,4280422,3323950,72775
08-09-2020,India,4370128,3398844,73890
09-09-2020,India,4465863,3471783,75062
10-09-2020,India,4562414,3542663,76271
11-09-2020,India,4659984,3624196,77472
12-09-2020,India,4754356,3702595,78586
13-09-2020,India,4846427,3780107,79722
14-09-2020,India,4930236,3859399,80776
15-09-2020,India,5020359,3942360,82066
16-09-2020,India,5118253,4025079,83198
17-09-2020,India,5214677,4112551,84372
18-09-2020,India,5308014,4208431,85619
19-09-2020,India,5400619,4303043,86752
20-09-2020,India,5487580,4396399,87882
21-09-2020,India,5562663,4497867,88935
22-09-2020,India,5646010,4587613,90020
23-09-2020,India,5732518,4674987,91149
24-09-2020,India,5818570,4756164,92290
25-09-2020,India,5903932,4849584,93379
26-09-2020,India,5992532,4941627,94503
27-09-2020,India,6074702,5016520,95542
28-09-2020,India,6145291,5101397,96318
29-09-2020,India,6225763,5187825,97497
30-09-2020,India,6312584,5273201,98678
01-10-2020,India,6394068,5352078,99773
02-10-2020,India,6473544,5427706,100842
03-10-2020,India,6549373,5509966,101782
04-10-2020,India,6623815,5586703,102685
05-10-2020,India,6685082,5662490,103569
06-10-2020,India,6757131,5744693,104555
07-10-2020,India,6835655,5827704,105526
08-10-2020,India,6906151,5906069,106490
09-10-2020,India,6979423,5988822,107416
10-10-2020,India,7053806,6077976,108334
11-10-2020,India,7120538,6149535,109150
12-10-2020,India,7175880,6227295,109856
13-10-2020,India,7239389,6301927,110586
14-10-2020,India,7307097,6383441,111266
15-10-2020,India,7370468,6453779,112161
16-10-2020,India,7432680,6524595,112998
17-10-2020,India,7494551,6597209,114031
18-10-2020,India,7550273,6663608,114610
19-10-2020,India,7597063,6733328,115197
20-10-2020,India,7651107,6795103,115914
21-10-2020,India,7706946,6874518,116616
22-10-2020,India,7761312,6948497,117306
23-10-2020,India,7814682,7016046,117956
24-10-2020,India,7864811,7078123,118534
25-10-2020,India,7909959,7137228,119014
26-10-2020,India,7946429,7201070,119502
27-10-2020,India,7990322,7259509,120010
28-10-2020,India,8040203,7315989,120527
29-10-2020,India,8088851,7373375,121090
30-10-2020,India,8137119,7432829,121641
31-10-2020,India,8184082,7491513,122111
01-11-2020,India,8229313,7544798,122607
02-11-2020,India,8267623,7603121,123097
03-11-2020,India,8313876,7656478,123611
04-11-2020,India,8364086,7711809,124315
05-11-2020,India,8411724,7765966,124985
06-11-2020,India,8462080,7819886,125562
07-11-2020,India,8507754,7868968,126121
08-11-2020,India,8553657,7917373,126611
09-11-2020,India,8591730,7959406,127059
10-11-2020,India,8636011,8013783,127571
11-11-2020,India,8683916,8066501,128121
12-11-2020,India,8728795,8115580,128668
13-11-2020,India,8773479,8163572,129188
14-11-2020,India,8814579,8205728,129635
15-11-2020,India,8845127,8249579,130070
16-11-2020,India,8874290,8290370,130519
17-11-2020,India,8912907,8335109,130993
18-11-2020,India,8958483,8383602,131578
19-11-2020,India,9004365,8428409,132162
20-11-2020,India,9050597,8478124,132726
21-11-2020,India,9095806,8521617,133227
22-11-2020,India,9139865,8562641,133738
23-11-2020,India,9177840,8604955,134218
24-11-2020,India,9222216,8642771,134699
25-11-2020,India,9266705,8679138,135223
26-11-2020,India,9309787,8718517,135715
27-11-2020,India,9351109,8759969,136200
28-11-2020,India,9392919,8802267,136696
29-11-2020,India,9431691,8847600,137139
30-11-2020,India,9462809,8889585,137621
01-12-2020,India,9499413,8932647,138122
02-12-2020,India,9534964,8973373,138648
03-12-2020,India,9571559,9016289,139188
04-12-2020,India,9608211,9058822,139700
05-12-2020,India,9644222,9100792,140182
06-12-2020,India,9677203,9139901,140573
07-12-2020,India,9703770,9178946,140958
08-12-2020,India,9735850,9215581,141360
09-12-2020,India,9767371,9253306,141772
10-12-2020,India,9796744,9290809,142185
11-12-2020,India,9826775,9324328,142628
12-12-2020,India,9857029,9357464,143019
13-12-2020,India,9884100,9388159,143355
14-12-2020,India,9906165,9422636,143709
15-12-2020,India,9932547,9456449,144096
16-12-2020,India,9956557,9489740,144451
17-12-2020,India,9979447,9520827,144789
18-12-2020,India,10004599,9550712,145136
19-12-2020,India,10031223,9580402,145477
20-12-2020,India,10055560,9606111,145810
21-12-2020,India,10075116,9636487,146111
22-12-2020,India,10099066,9663382,146444
23-12-2020,India,10123778,9693173,146756
24-12-2020,India,10146845,9717834,147092
25-12-2020,India,10169118,9740108,147343
26-12-2020,India,10187850,9761538,147622
27-12-2020,India,10207871,9782669,147901
28-12-2020,India,10224303,9807569,148153
29-12-2020,India,10244852,9834141,148439
30-12-2020,India,10266674,9860280,148738
31-12-2020,India,10286709,9883461,148994
01-01-2021,India,10305788,9929568,149218
02-01-2021,India,10323965,9927310,149435
03-01-2021,India,10340469,9946867,149649
04-01-2021,India,10356844,9975958,149850
05-01-2021,India,10374932,9997272,150114
06-01-2021,India,10395278,10016859,150336
07-01-2021,India,10413417,10037398,150570
08-01-2021,India,10413417,10037398,150570
09-01-2021,India,10450284,10075950,150999
10-01-2021,India,10466595,10092909,151160
11-01-2021,India,10479179,10111294,151327
12-01-2021,India,10495147,10129111,151529
13-01-2021,India,10512093,10146763,151727
14-01-2021,India,10527683,10162738,151918
15-01-2021,India,10542841,10179715,152093
16-01-2021,India,10557985,10196885,152274
17-01-2021,India,10571773,10211342,152419
18-01-2021,India,10581823,10228753,152556
19-01-2021,India,10595639,10245741,152718
20-01-2021,India,10610883,10265706,152869
21-01-2021,India,10625428,10283702,153032
22-01-2021,India,10639684,10300838,153184
23-01-2021,India,10654533,10316786,153339
24-01-2021,India,10667736,10330084,153470
25-01-2021,India,10676838,10345985,153587
26-01-2021,India,10689527,10359305,153724
27-01-2021,India,10701193,10373606,153847
28-01-2021,India,10720048,10394352,154010
29-01-2021,India,10733130,10409146,154147
30-01-2021,India,10746174,10423109,154274
31-01-2021,India,10757610,10434983,154392
01-02-2021,India,10766245,10448406,154486
02-02-2021,India,10777284,10462631,154596
03-02-2021,India,10790183,10480455,154703
04-02-2021,India,10802591,10496308,154823
05-02-2021,India,10814304,10510796,154918
06-02-2021,India,10826363,10522601,154996
07-02-2021,India,10838194,10534505,155080
08-02-2021,India,10847304,10548521,155158
09-02-2021,India,10858371,10561608,155252
10-02-2021,India,10871294,10573372,155360
11-02-2021,India,10880603,10589230,155447
12-02-2021,India,10892746,10600625,155550
13-02-2021,India,10904940,10611731,155642
14-02-2021,India,10916589,10621220,155732
15-02-2021,India,10925710,10633025,155813
16-02-2021,India,10937320,10644858,155913
17-02-2021,India,10950201,10656845,156014
18-02-2021,India,10963394,10667741,156111
19-02-2021,India,10977387,10678048,156212
20-02-2021,India,10991651,10689715,156302
21-02-2021,India,11005850,10699410,156385
22-02-2021,India,11016434,10712665,156463
23-02-2021,India,11030176,10726702,156567
24-02-2021,India,11046914,10738501,156705
25-02-2021,India,11063491,10750680,156825
26-02-2021,India,11079979,10763451,156938
27-02-2021,India,11096731,10775169,157051
28-02-2021,India,11112241,10786452,157157
01-03-2021,India,11124527,10798921,157248
02-03-2021,India,11139516,10812044,157346
03-03-2021,India,11156923,10826075,157435
04-03-2021,India,11173761,10839894,157548
05-03-2021,India,11192045,10854126,157656
06-03-2021,India,11210799,10868520,157756
07-03-2021,India,11229398,10882798,157853
08-03-2021,India,11244786,10899394,157930
09-03-2021,India,11262707,10920046,158063
10-03-2021,India,11285561,10938146,158189
11-03-2021,India,11308846,10953303,158306
12-03-2021,India,11333728,10973260,158446
13-03-2021,India,11359048,10989897,158607
14-03-2021,India,11385339,11007352,158725
15-03-2021,India,11409831,11027543,158856
16-03-2021,India,11438734,11045284,159044
17-03-2021,India,11474605,11063025,159216
18-03-2021,India,11514331,11083679,159370
19-03-2021,India,11555284,11107332,159558
20-03-2021,India,11599130,11130288,159755
21-03-2021,India,11646081,11151468,159967
22-03-2021,India,11686796,11181253,160166
23-03-2021,India,11734058,11205160,160441
24-03-2021,India,11787534,11231650,160692
25-03-2021,India,11846652,11264637,160949
26-03-2021,India,11908910,11295023,161240
27-03-2021,India,11971624,11323762,161552
28-03-2021,India,12039644,11355993,161843
29-03-2021,India,12095855,11393021,162114
30-03-2021,India,12149335,11434301,162468
31-03-2021,India,12221665,11474683,162927
01-04-2021,India,12303131,11525039,163396
02-04-2021,India,12392260,11569241,164110
03-04-2021,India,12485509,11629289,164623
04-04-2021,India,12589067,11682136,165101
05-04-2021,India,12686049,11732279,165547
06-04-2021,India,12801785,11792135,166177
07-04-2021,India,12928574,11851393,166862
08-04-2021,India,13060542,11913292,167642
09-04-2021,India,13205926,11990859,168436
10-04-2021,India,13358805,12081443,169275
11-04-2021,India,13527717,12156529,170179
12-04-2021,India,13689453,12253697,171058
13-04-2021,India,13873825,12336036,172085
14-04-2021,India,14074564,12429564,173123
15-04-2021,India,14291917,12547866,174308
16-04-2021,India,14526609,12671220,175649
17-04-2021,India,14788003,12809638,177150
18-04-2021,India,15061805,12953817,178769
19-04-2021,India,15320972,13108565,180530
20-04-2021,India,15616130,13276039,182553
21-04-2021,India,15930774,13454880,184657
22-04-2021,India,16263695,13648159,186920
23-04-2021,India,16610481,13867997,189544
24-04-2021,India,16960172,14085110,192311
25-04-2021,India,17313163,14304382,195123
26-04-2021,India,17636186,14556089,197894
27-04-2021,India,17997113,14817240,201187
28-04-2021,India,18376421,15086740,204832
29-04-2021,India,18762976,15384418,208330
30-04-2021,India,19164969,15684406,211853
01-05-2021,India,19557457,15992271,215542
02-05-2021,India,19925517,16292725,218959
03-05-2021,India,20282833,16613292,222408
04-05-2021,India,20664979,16951521,226188
05-05-2021,India,21077410,17280844,230168
06-05-2021,India,21491598,17612351,234083
07-05-2021,India,21892676,17930960,238270
08-05-2021,India,22296081,18317364,242347
09-05-2021,India,22662575,18671222,246116
10-05-2021,India,22992517,19027304,249992
11-05-2021,India,23340938,19382642,254197
12-05-2021,India,23703665,19734823,258317
13-05-2021,India,24046809,20079599,262317
14-05-2021,India,24372907,20432898,266207
15-05-2021,India,24684077,20795335,270284
16-05-2021,India,24965463,21174076,274390
17-05-2021,India,25228996,21596512,278719
18-05-2021,India,25496330,21986363,283248
19-05-2021,India,25772440,22355440,287122
20-05-2021,India,26031991,22712735,291331
21-05-2021,India,26289290,23070365,295525
22-05-2021,India,26530132,23425467,299266
23-05-2021,India,26752447,23728011,303720
24-05-2021,India,26948874,24054861,307231
25-05-2021,India,27157795,24350816,311388
26-05-2021,India,27369093,24633951,315235
27-05-2021,India,27555457,24893410,318895
28-05-2021,India,27729247,25178011,322512
29-05-2021,India,27894800,25454320,325972
30-05-2021,India,28047534,25692342,329100
31-05-2021,India,28175044,25947629,331895
01-06-2021,India,28307832,26179085,335102
02-06-2021,India,28441986,26390584,337989
03-06-2021,India,28574350,26597655,340702
04-06-2021,India,28694879,26795549,344082
05-06-2021,India,28809339,26984781,346759
06-06-2021,India,28909975,27159180,349186
07-06-2021,India,28996473,27341462,351309
08-06-2021,India,29089069,27504126,353528
09-06-2021,India,29182532,27655493,355705
10-06-2021,India,29274823,27790073,363079
11-06-2021,India,29359155,27911384,367081
12-06-2021,India,29439989,28043446,370384
13-06-2021,India,29510410,28162947,374305
14-06-2021,India,29570881,28280472,377031
15-06-2021,India,29633105,28388100,379573
16-06-2021,India,29700313,28491670,381903
17-06-2021,India,29762793,28580647,383490
18-06-2021,India,29823546,28678390,385137
19-06-2021,India,29881772,28765738,386708
20-06-2021,India,29935221,28844199,388135
21-06-2021,India,29977861,28926038,389302
22-06-2021,India,30028709,28994855,390660
23-06-2021,India,30082778,29063740,391981
24-06-2021,India,30134445,29128267,393310
25-06-2021,India,30183143,29193085,394493
26-06-2021,India,30233183,29251029,395751
27-06-2021,India,30279331,29309607,396730
28-06-2021,India,30316897,29366601,397637
29-06-2021,India,30362848,29427330,398454
30-06-2021,India,30411634,29488918,399459
01-07-2021,India,30458251,29548302,400312
02-07-2021,India,30502362,29605779,401050
03-07-2021,India,30545433,29658078,402005
04-07-2021,India,30585229,29700430,402728
05-07-2021,India,30619932,29752294,403281
06-07-2021,India,30663665,29799534,404211
07-07-2021,India,30709557,29843825,405028
08-07-2021,India,30752950,29888284,405939
09-07-2021,India,30795716,29933538,407145
10-07-2021,India,30837222,29975064,408040
11-07-2021,India,30874376,30014713,408764
12-07-2021,India,30907282,30063720,410784
13-07-2021,India,30946147,30104659,411406
14-07-2021,India,30987880,30143850,411989
15-07-2021,India,31026829,30183876,412531
16-07-2021,India,31064908,30227792,413091
17-07-2021,India,31106065,30269796,413609
18-07-2021,India,31144229,30308456,414108
19-07-2021,India,31174322,30353710,414482
20-07-2021,India,31216337,30390687,418480
21-07-2021,India,31257720,30429339,418987
22-07-2021,India,31293062,30468079,419470
23-07-2021,India,31332159,30468079,420016
24-07-2021,India,31371901,30543138,420551
25-07-2021,India,31411262,30579106,420967
26-07-2021,India,31440951,30621469,421382
27-07-2021,India,31484605,30663147,422022
28-07-2021,India,31528114,30701612,422662
29-07-2021,India,31572344,30743972,423217
30-07-2021,India,31613993,30781263,423810
31-07-2021,India,31655824,30820521,424351
01-08-2021,India,31695958,30857467,424773
02-08-2021,India,31726507,30896354,425195
03-08-2021,India,31769132,30933022,425757
04-08-2021,India,31812114,30974748,426290
